airport_id,month,tavg,prcp,wspd,pres
AZA,10,27.69,0.0,9.12,1008.78
AZA,11,20.62,0.25,8.71,1014.1
AZA,12,15.32,0.73,7.45,1016.77
AZO,1,0.83,2.65,11.74,1016.12
AZO,2,0.88,3.71,15.98,1016.51
AZO,3,3.07,4.88,14.26,1017.37
AZO,4,10.47,3.51,13.3,1014.99
AZO,5,16.12,1.17,9.24,1017.85
AZO,6,20.84,1.0,9.0,1012.08
AZO,7,22.98,4.9,8.54,1013.31
AZO,8,21.71,2.52,9.43,1014.54
AZO,9,18.91,2.85,7.04,1018.68
AZO,10,12.41,5.21,11.02,1015.49
AZO,11,5.14,1.7,12.27,1019.39
AZO,12,4.31,2.17,11.15,1018.28
BDL,1,2.75,4.76,11.2,1014.77
BDL,2,1.27,1.66,12.99,1017.02
BDL,3,4.49,3.41,14.35,1014.32
BDL,4,11.98,5.08,12.47,1016.41
BDL,5,15.63,2.46,11.44,1015.84
BDL,6,19.75,1.08,10.72,1010.89
BDL,7,24.45,11.42,9.86,1012.62
BDL,8,21.91,3.18,10.69,1013.16
BDL,9,18.9,10.31,10.25,1018.07
BDL,10,14.03,2.45,9.07,1013.71
BDL,11,4.81,1.55,10.73,1019.4
BDL,12,4.05,6.59,10.24,1019.22
BET,1,-12.24,1.15,21.14,1001.04
BET,2,-11.58,1.11,20.99,1005.79
BET,3,-7.05,1.18,23.93,1015.15
BET,4,-8.1,0.45,17.95,1012.91
BET,5,4.65,1.24,18.81,1008.68
BET,6,11.05,1.27,14.63,1008.54
BET,7,12.48,2.84,14.98,1014.9
BET,8,12.13,1.96,15.85,1009.77
BET,9,6.93,2.14,15.88,1006.28
BET,10,0.01,0.69,14.93,1013.33
BET,11,-3.45,1.27,18.37,1000.84
BET,12,-14.56,1.36,18.99,997.26
BFF,1,-3.76,1.28,12.12,1018.47
BFF,2,-1.86,0.34,16.74,1016.53
BFF,3,1.23,0.35,18.47,1014.83
BFF,4,7.97,0.46,17.5,1013.79
BFF,5,15.89,6.02,15.25,1013.54
BFF,6,19.18,4.03,12.63,1011.5
BFF,7,22.51,1.76,11.76,1014.14
BFF,8,22.6,1.3,12.13,1014.57
BFF,9,18.37,1.75,12.24,1014.06
BFF,10,9.03,0.66,12.79,1017.07
BFF,11,3.76,0.46,11.65,1019.23
BFF,12,1.19,0.1,15.58,1019.47
BFL,1,10.31,1.62,8.95,1018.26
