prcp,Average_Delay
56.1,4.26
56.4,-0.5
56.6,3.5
56.9,43.92
57.0,33.33
57.1,48.83
57.2,-7.5
57.4,67.0
57.7,1.22
57.9,-4.74
58.0,3.0
58.2,8.42
58.4,16.19
58.5,22.27
58.7,39.5
58.9,43.62
59.2,34.14
59.4,19.81
59.5,-0.5
59.7,11.8
59.9,-4.6
60.1,-2.17
60.2,10.0
60.5,16.48
60.6,63.11
60.7,0.34
60.8,21.5
61.0,38.24
61.2,3.94
61.4,3.94
61.5,35.0
61.6,-17.25
61.7,-5.5
62.0,47.39
62.2,27.06
62.5,0.0
62.6,44.8
62.7,31.25
63.2,31.0
63.5,4.39
63.8,16.33
64.0,-22.0
64.3,12.56
64.4,4.83
64.5,-9.0
64.8,21.5
65.0,15.19
65.3,10.11
65.8,26.61
65.9,-31.0
66.0,-7.67
66.5,32.22
67.3,-17.0
67.6,-18.0
67.8,21.75
67.9,19.5
68.0,9.55
68.1,13.0
68.2,-1.13
68.3,14.0
68.5,72.0
68.6,16.67
68.8,-13.71
69.1,-16.0
69.3,9.44
69.6,26.57
69.9,8.92
70.1,18.51
70.4,-2.8
70.5,4.0
70.6,-0.2
70.8,4.0
70.9,35.06
71.1,65.75
71.3,1.56
71.5,-14.0
72.1,-2.0
72.4,-12.11
72.5,15.25
72.6,-10.43
73.5,2.56
73.9,11.5
74.0,8.0
74.2,33.51
74.3,-6.78
74.9,-4.0
75.4,1.0
75.8,4.75
76.2,55.43
76.7,-11.5
77.2,67.53
77.5,-22.33
77.7,-9.0
77.9,32.5
78.0,47.29
78.2,-12.0
78.5,-8.0
78.7,-9.5
79.0,-1.38
79.5,23.42
80.3,-14.5
80.8,93.8
81.3,39.5
81.5,-28.0
81.7,148.0
82.0,23.0
82.6,-14.92
82.8,-3.67
83.3,8.83
83.6,1.0
83.8,1.07
84.3,26.1
85.1,29.45
86.9,75.7
87.0,-7.33
87.1,13.83
87.3,58.57
87.9,18.0
88.1,72.85
88.4,36.76
88.6,18.33
88.7,7.5
88.8,-5.0
90.4,53.5
90.7,34.0
91.4,17.0
91.7,-6.5
93.5,16.43
94.8,10.5
95.8,6.0
97.5,35.6
98.6,11.0
98.8,18.0
100.1,2.0
100.6,-10.0
100.8,14.95
101.1,91.0
101.9,21.0
102.9,95.94
103.4,9.33
104.7,-11.0
104.9,43.28
105.4,-6.5
107.2,-4.0
107.3,46.0
107.7,-14.0
111.8,33.91
112.3,-19.67
113.0,69.53
113.3,-8.25
115.1,118.91
115.3,-22.0
117.1,12.29
118.1,-13.5
120.5,78.86
126.0,13.0
126.2,121.41
129.2,11.56
134.3,11.0
143.5,31.0
147.9,139.06
157.2,71.59
158.5,16.33
161.8,-2.0
169.9,40.41
177.8,-31.0
191.3,30.71
204.5,40.06
571.5,-11.58
